rownames,state,year,cpi,population,packs,income,tax,price,taxs
49,AL,1995,1.524,4262731,101.085,83903280,40.5,158.371,41.905
50,AR,1995,1.524,2480121,111.043,45995496,55.5,175.543,63.859
51,AZ,1995,1.524,4306908,71.954,88870496,65.333,198.607,74.791
52,CA,1995,1.524,31493524,56.859,771470144,61.0,210.505,74.771
53,CO,1995,1.524,3738061,82.583,92946544,44.0,167.35,44.0
54,CT,1995,1.524,3265293,79.472,104315120,74.0,218.281,86.355
55,DE,1995,1.524,718265,124.467,18237436,48.0,165.6,48.0
56,FL,1995,1.524,14185403,93.075,333525344,57.9,187.717,68.526
57,GA,1995,1.524,7188538,97.475,159800448,36.0,156.573,37.431
58,IA,1995,1.524,2840860,92.402,60170928,60.0,190.89,69.09
59,ID,1995,1.524,1165000,74.85,22868920,52.0,179.638,60.554
60,IL,1995,1.524,11884935,83.265,304767456,68.0,198.476,79.235
61,IN,1995,1.524,5791819,134.258,126525008,39.5,154.534,46.859
62,KS,1995,1.524,2586942,88.753,56626672,48.0,175.21,56.343
63,KY,1995,1.524,3855248,172.648,74079712,27.0,145.98,35.263
64,LA,1995,1.524,4327978,105.176,84572688,44.0,167.795,50.454
65,MA,1995,1.524,6062335,76.621,170051568,75.0,217.105,85.338
66,MD,1995,1.524,5023650,77.474,135115456,60.0,186.034,68.859
67,ME,1995,1.524,1237438,102.47,25045934,61.0,197.231,72.164
68,MI,1995,1.524,9659871,81.388,231594240,99.0,240.85,112.633
69,MN,1995,1.524,4605445,82.945,113216856,72.0,220.349,86.415
70,MO,1995,1.524,5324610,122.45,117639672,41.0,157.23,42.388
71,MS,1995,1.524,2690788,105.582,46241956,42.0,169.229,53.071
72,MT,1995,1.524,868522,87.16,16296835,42.0,156.217,42.0
73,NC,1995,1.524,7185403,121.538,157633568,29.0,149.994,34.769
74,ND,1995,1.524,641548,79.807,12243384,68.0,192.249,78.882
75,NE,1995,1.524,1635142,87.271,36293064,58.0,182.175,66.675
76,NH,1995,1.524,1145604,156.337,28649564,49.0,166.642,49.0
77,NJ,1995,1.524,7965523,80.371,233208576,64.0,203.087,75.495
78,NM,1995,1.524,1682417,64.669,31716160,45.0,176.146,53.388
79,NV,1995,1.524,1525777,93.526,39377292,59.0,206.599,72.516
80,NY,1995,1.524,18150928,70.817,503163328,80.0,221.858,88.533
81,OH,1995,1.524,11155493,111.38,255312928,48.0,165.891,55.9
82,OK,1995,1.524,3265547,108.68,63333300,47.0,170.135,55.102
83,OR,1995,1.524,3141421,92.156,71209312,62.0,190.3,62.0
84,PA,1995,1.524,12044780,95.643,285923232,55.0,176.163,64.971
85,RI,1995,1.524,989203,92.6,23786644,80.0,224.459,94.684
86,SC,1995,1.524,3699943,108.083,72050072,31.0,152.819,38.277
87,SD,1995,1.524,728251,97.219,14454129,47.0,168.038,53.463
88,TN,1995,1.524,5241168,122.32,114259984,37.0,167.067,49.375
89,TX,1995,1.524,18679706,73.079,402096768,65.0,198.202,76.219
90,UT,1995,1.524,1976774,49.272,37278220,50.5,180.976,59.118
91,VA,1995,1.524,6601392,105.387,161441792,26.5,166.661,34.436
92,VT,1995,1.524,582827,122.335,12448607,44.0,175.639,52.364
93,WA,1995,1.524,5431024,65.531,129680832,80.5,239.109,96.143
94,WI,1995,1.524,5137004,92.466,115959680,62.0,201.381,71.59
95,WV,1995,1.524,1820560,115.569,32611268,41.0,166.517,50.425
96,WY,1995,1.524,478447,112.238,10293195,36.0,158.542,36.0
